,Title,Date,Time,No.of comments,Score,Upvote,Tickers
0,Shots fired! Cathie calling out GM after TSLA deliveries!,2021-10-03,2021-10-03 05:00:00,2076,20425,0.75,TSLA
1,To the people with the Canoo GOEV DD yesterday,2021-09-24,2021-09-24 17:04:46,376,6778,0.95,GOEV
2,WISH investors meet Pennywise,2021-10-06,2021-10-06 04:55:02,356,6435,0.98,WISH
3,Margin swing trade into $TSLA earning. FOMO the huge rally after ER…Just going to hit the sell button and never look back.,2021-10-19,2021-10-19 19:17:10,641,6340,0.95,TSLA
4,I admit. I made a $WISH.,2021-10-15,2021-10-15 07:45:17,478,4952,0.94,WISH
5,"Reminder that if your friends still enjoy hanging out with you, you’re not talking about $TSLA enough",2021-10-10,2021-10-10 04:04:10,381,4648,0.96,TSLA
6,Pandora Papers leaked Burry TA,2021-10-08,2021-10-08 01:39:27,501,4136,0.95,TA
7,"The Rise of Canoo ($GOEV) – Why JPOW’s printer, Biden’s EV support ($15 billion in infrastructure bill, $160 billion in EV subsidies in budget), ~70% increase in institution ownership, 30+% SI and ~98% utilization are primed to send a young and unique EV manufacturer to the stratosphere.",2021-09-22,2021-09-22 18:59:15,614,3999,0.93,GOEV
8,"The Rise of Canoo ($GOEV) – Why JPOW’s printer, Biden’s EV support ($15 billion in infrastructure bill, $160 billion in EV subsidies in budget), ~70% increase in institution ownership, 30+% SI and ~98% utilization are primed to send a young and unique EV manufacturer to the stratosphere.",2021-09-22,2021-09-22 18:59:15,614,3999,0.93,SP
9,"The Rise of Canoo ($GOEV) – Why JPOW’s printer, Biden’s EV support ($15 billion in infrastructure bill, $160 billion in EV subsidies in budget), ~70% increase in institution ownership, 30+% SI and ~98% utilization are primed to send a young and unique EV manufacturer to the stratosphere.",2021-09-22,2021-09-22 18:59:15,614,3999,0.93,NKLA
10,$WISH apes today.,2021-10-07,2021-10-07 02:06:09,258,3478,0.97,WISH
11,"DOLE: ""There's always [tendies] in the banana stand"" (DD)",2021-09-29,2021-09-29 22:11:38,466,3482,0.95,IQ
12,$FB,2021-10-06,2021-10-06 05:13:50,129,3321,0.97,FB
13,"When 90% of a $2.8 mil portfolio is powered by WSB meme stocks, who says WSB is full of dumb money? TSLA, GME, AMC, PLTR. I'm not fucking leaving!",2021-10-07,2021-10-07 19:16:16,328,2998,0.95,TSLA
14,$LAUR: Get Rich from this 43% Special Dividend,2021-09-27,2021-09-27 18:58:00,701,2930,0.91,LAUR
15,$LAUR: Get Rich from this 43% Special Dividend,2021-09-27,2021-09-27 18:58:00,701,2930,0.91,ANY
16,Michael Burry to his fans who shorted TSLA because of him.,2021-10-17,2021-10-17 20:03:18,300,2872,0.97,TSLA
17,TSLA goes Brrrrrr... Burry deletes account 😭,2021-10-15,2021-10-15 19:56:36,461,2641,0.94,TSLA
18,$2k to $33k in 3 hours on TLRY weeklies.,2021-10-20,2021-10-20 03:52:09,317,2595,0.96,TLRY
19,Ya'll just don't get it do you,2021-10-15,2021-10-15 00:53:24,839,2505,0.87,TSLA
20,Ya'll just don't get it do you,2021-10-15,2021-10-15 00:53:24,839,2505,0.87,COIN
21,Ya'll just don't get it do you,2021-10-15,2021-10-15 00:53:24,839,2505,0.87,DISCK
22,Ya'll just don't get it do you,2021-10-15,2021-10-15 00:53:24,839,2505,0.87,FB
23,"+$70,000 GAIN ON SPY/QQQ PUTS IN ONE DAY, UP ALMOST +$100,000 THIS WEEK 🚀🚀🚀",2021-10-01,2021-10-01 02:59:42,356,2336,0.94,GAIN
24,Lol fuck $TSLA,2021-09-24,2021-09-24 20:09:56,748,2251,0.93,TSLA
25,CRSR stock Corsair gaming has 50% upside baby. Buckle up apes! And enjoy the ride,2021-10-07,2021-10-07 22:31:59,464,2223,0.88,CRSR
26,"I sold these $aapl $150 12/15 calls at a huge loss. Went from 65k to 20k. I am dead inside. Lost sleep, motivation everything.",2021-10-01,2021-10-01 14:34:10,1006,2156,0.94,AAPL
27,There are a lot of companies that would kill to get a meme status! $CLOV.,2021-10-14,2021-10-14 09:42:20,114,2144,0.94,CLOV
28,Anono-mon update. I’ve realized $2M. Image show unrealized gains from $TSLA,2021-09-26,2021-09-26 10:26:13,405,2129,0.96,TSLA
29,SDC - 175K YOLO - My life savings along with my wife's bf life savings all in moist,2021-10-06,2021-10-06 19:46:00,459,2116,0.92,SDC
30,$GOEV - crayon marking breakout!,2021-09-23,2021-09-23 17:35:24,313,1791,0.91,GOEV
31,Ready to get hurt - 295k YOLO into CLOV,2021-10-11,2021-10-11 21:23:46,300,1770,0.87,CLOV
32,$CLOV and $WISH apes now:,2021-09-25,2021-09-25 03:02:54,266,1767,0.92,CLOV
33,$CLOV and $WISH apes now:,2021-09-25,2021-09-25 03:02:54,266,1767,0.92,WISH
34,WISH literally burns,2021-10-16,2021-10-16 00:07:24,159,1651,0.97,WISH
35,"CLOV ""investors"" (aka bagholders) anytime it closes green...",2021-10-11,2021-10-11 02:20:06,174,1633,0.92,CLOV
36,Does anyone else miss 2020 or is it just me?,2021-10-06,2021-10-06 04:56:52,428,1633,0.82,TSLA
37,Does anyone else miss 2020 or is it just me?,2021-10-06,2021-10-06 04:56:52,428,1633,0.82,PYPL
38,$BB BlackBerry - UNLEASH THE BEAST!!! (Post earning analysis) 🍇💎🐵,2021-09-23,2021-09-23 04:49:46,325,1561,0.92,AMD
39,$BB BlackBerry - UNLEASH THE BEAST!!! (Post earning analysis) 🍇💎🐵,2021-09-23,2021-09-23 04:49:46,325,1561,0.92,VERY
40,Just don't fucking dance TSLA,2021-09-29,2021-09-29 19:46:06,109,1315,0.96,TSLA
41,$GOEV An EV BangBus on a highway to Tendie Town? 🚌🍗🏙️,2021-09-23,2021-09-23 19:00:23,174,1282,0.88,GOEV
42,I $wish I had more money to buy more They laughed at me when I bought $nio at $1.63 They laughed at me when I bought $amc at $4.00 Go ahead and laugh at me buying $wish at $4.70,2021-10-06,2021-10-06 21:15:20,517,1248,0.84,WISH
43,"I Followed Some Idiot And Now I’m Down $17,000 On My Weekly CLOV CALLS Expiring This Week 10/15. God Help Me.",2021-10-11,2021-10-11 04:51:23,479,1044,0.89,CLOV
44,"$ROOT, Win the Marathon and Upcoming Catalyst",2021-10-12,2021-10-12 22:01:18,124,1045,0.88,ROOT
45,"TWNK: The bear thesis sucks Ding Dongs, and shorts are scared of taking it up the brownie in Q3 earnings.",2021-10-11,2021-10-11 20:29:09,222,1032,0.93,TWNK
