,date,ticker,TWEETS,Vader Sentiment,Vader Analysis,mentions,size
0,2021-09-15,AAPL,"Daily Popular Tickers Thread for September 15, 2021 - IRNT | GME | AAPL",0.4215,Neutral,3,1
1,2021-09-15,AAWW,DD: Atlas Air (AAWW) is laughably undervalued and has near term catalysts for a rapid revaluation,0.296,Neutral,1,1
2,2021-09-15,ASTS,"$ASTS (Final Part): Universal 4k Porn streamed from anywhere on the planet Sea, Air, and Land!",0.0,Neutral,8,1
3,2021-09-15,CLOV,All in on $clov,0.0,Neutral,40,1
4,2021-09-15,CLOV,"Yolo 30k into $CLOV, working on getting it to 40k.",0.2732,Neutral,40,1
5,2021-09-15,LCID,Have Lucid Group (LCID) & PIF fallen prey to what Saudis wanted to save Elon Musk from? Shedding lights on Morgan Stanley’s Adam Jonas “Tale of the two companies”,0.1779,Neutral,13,1
6,2021-09-15,MVST,Microvast ($MVST) DD - Oshkosh and USPS Win - Workhorse Drops the Lawsuit,0.4404,Neutral,2,1
7,2021-09-15,NKLA,"$ASTS (Final Part): Universal 4k Porn streamed from anywhere on the planet Sea, Air, and Land!",0.0,Neutral,3,1
8,2021-09-15,OB,"$ASTS (Final Part): Universal 4k Porn streamed from anywhere on the planet Sea, Air, and Land!",0.0,Neutral,1,1
9,2021-09-15,SDC,$SDC fuck it let’s go! Happy to get in on the ground floor of this one.,0.126,Neutral,90,1
10,2021-09-15,SOFI,I think we get the bank charter SOFI,0.0,Neutral,13,1
11,2021-09-15,TSLA,"$ASTS (Final Part): Universal 4k Porn streamed from anywhere on the planet Sea, Air, and Land!",0.0,Neutral,22,1
12,2021-09-15,TSLA,"-$600k on TSLA, RIP",0.0,Neutral,22,1
13,2021-09-16,AMZN,"I went all in $36,000 on AMZN 3410 call sept 17 today. I saw a chance of reversal and bought in at 3408 and sold at 3484. I plan on taking a break to relax and trade with much much smaller size from now on to protect my capital. If you have any advice please lmk",0.8316,Positive,1,1
14,2021-09-16,ASTS,Lord of the Stonks: One Stock to Connect them All!!🛰️ 🛰️🛰️🛰️🛰️ $ASTS 🚀🚀🚀🚀🚀,0.0,Neutral,8,1
15,2021-09-16,CLOV,100% of portfolio is $CLOV. Average down from 15$,0.0,Neutral,40,1
16,2021-09-16,KE,"$BEKE, $YANG, $NOAH - Big Profits off the Collapse of Big Brother - An Evergrande DD",-0.0772,Neutral,1,1
17,2021-09-16,SDC,$SDC Short Interest Data - only 350K available to short? 🔥🚀,0.1531,Neutral,90,1
18,2021-09-16,SDC,$SDC get in under $6 and we can race our lambos in a school zone next month,0.0,Neutral,90,1
19,2021-09-16,SDC,First Post: $SDC trying to diversify. I like the stock.,0.3612,Neutral,90,1
20,2021-09-16,SDC,SDC 80k yolo. 45million short shares ain’t no joke 😂,0.6499,Positive,90,1
21,2021-09-16,TA,Why do people think it's funny when an option expires worthless?,0.0,Neutral,9,1
22,2021-09-16,TELL,$TELL- M&A coming soon,0.0,Neutral,2,1
23,2021-09-17,ALGN,Why it may be time for an SDC bed shitter (the good kind),0.743,Positive,2,1
