,date,ticker,TWEETS
0,2021-10-15,FREE,Need to get more eyeballs on $FREE / $FREEW. Volume has dropped to nothing. I still contend that it's one of the few super viable businesses that have DeSpac'd
1,2021-10-15,FREEW,Need to get more eyeballs on $FREE / $FREEW. Volume has dropped to nothing. I still contend that it's one of the few super viable businesses that have DeSpac'd
2,2021-10-06,DNA,Thank goodness I sold $DNA and $DNAW last week to do a little rebalancing. Out here dodging bullets. I miss SPACland 2020.
3,2021-10-06,DNAW,Thank goodness I sold $DNA and $DNAW last week to do a little rebalancing. Out here dodging bullets. I miss SPACland 2020.
4,2021-09-23,DNA,$DNA  https://t.co/vFuuH9LvyV
5,2021-06-09,WWE,Called it. $WWE
6,2021-05-31,T,Short $T. #MareOfEasttown
7,2021-04-06,DMYD,Great work everyone. $DMYD
8,2021-10-21,GSAH,$GSAH --&gt; is $MIR GS Acquisition Holdings Corp II Stockholders Approve Business Combination with @MirionHQ    https://t.co/6Iol1jY69j  via @business
9,2021-10-21,MIR,$GSAH --&gt; is $MIR GS Acquisition Holdings Corp II Stockholders Approve Business Combination with @MirionHQ    https://t.co/6Iol1jY69j  via @business
10,2021-10-21,FB,I hope Facebook goes #OldSchool   New name should be???? “TheFacebook” $FB —&gt; $TFB 🤯  https://t.co/pnSntz2Q24
11,2021-10-21,TFB,I hope Facebook goes #OldSchool   New name should be???? “TheFacebook” $FB —&gt; $TFB 🤯  https://t.co/pnSntz2Q24
12,2021-10-21,OCA,"Always good, informative, &amp; insightful information when we get @mhiggins and @seanharper on talking about @kinsured $OCA to be $KI after merger. Great Growth gentleman, over 500% 👊"
13,2021-10-21,KI,"Always good, informative, &amp; insightful information when we get @mhiggins and @seanharper on talking about @kinsured $OCA to be $KI after merger. Great Growth gentleman, over 500% 👊"
14,2021-10-21,ARVL,$ARVL
15,2021-10-20,OCA,Join this fireside chat today with:  $OCA 3pm ET. A special here on #TwitterSpaces @mhiggins / Omnichannel Acquisition Corp. and @seanharper Co-Founder &amp; CEO / @kinsured   https://t.co/hamojJEhFi Hope you can join us.  https://t.co/EMuXQdyk5C
16,2021-10-20,IPVF,$IPVF $OCA with @chriskatje @STORYInvestors
17,2021-10-20,OCA,$IPVF $OCA with @chriskatje @STORYInvestors
18,2021-10-20,BFLY,"Just read my ""Thanks for attending"" email from @4Catalyzer &amp; the @JMRothberg crew.   It was my pleasure.  Thanks for having me 🦋🧲🦠👁️💊 $BFLY $QSI $HCAQ--&gt; $HYPR  https://t.co/1nKiGev5CO"
19,2021-10-20,QSI,"Just read my ""Thanks for attending"" email from @4Catalyzer &amp; the @JMRothberg crew.   It was my pleasure.  Thanks for having me 🦋🧲🦠👁️💊 $BFLY $QSI $HCAQ--&gt; $HYPR  https://t.co/1nKiGev5CO"
20,2021-10-20,HCAQ,"Just read my ""Thanks for attending"" email from @4Catalyzer &amp; the @JMRothberg crew.   It was my pleasure.  Thanks for having me 🦋🧲🦠👁️💊 $BFLY $QSI $HCAQ--&gt; $HYPR  https://t.co/1nKiGev5CO"
21,2021-10-20,HYPR,"Just read my ""Thanks for attending"" email from @4Catalyzer &amp; the @JMRothberg crew.   It was my pleasure.  Thanks for having me 🦋🧲🦠👁️💊 $BFLY $QSI $HCAQ--&gt; $HYPR  https://t.co/1nKiGev5CO"
22,2021-10-20,GSAH,@IPOEdge @MirionHQ @GoldmanSachs @jannarone @BarbarianCap @CharterhouseCP I put on a new position after the merger announcement 📣 $GSAH Thx @jannarone @IPOEdge @MirionHQ  https://t.co/EoGldkTZ9m
23,2021-10-20,TTCF,$TTCF / @eattattooedchef
24,2021-10-20,PSFE,@bersezk @eToro @solana No. I never have. With #davidtepper adding $PSFE I may need a deeper dive. I already own warrants much higher.
25,2021-10-20,FTCV,Was asked about $FTCV to become @eToro. Here’s my response. “Actually just closed my eToro account lately. It’s simply not good.  It’s difficult to use. They are late to add new cryptos. I can’t buy @solana at all. I can’t send #crypto to other wallets either.” Why bother. #truth  https://t.co/CBLicoEqhg
26,2021-10-20,PTRA,The reason why is @DesktopMetal does not have nearly the premium in selling calls. There is little to know $ there. I’m doing a similar scenario with $PTRA &amp; $SOFI. The $PTRA has not had price improvement but my position grows about 9-11% a month &amp; my cost decreases the same.
27,2021-10-20,SOFI,The reason why is @DesktopMetal does not have nearly the premium in selling calls. There is little to know $ there. I’m doing a similar scenario with $PTRA &amp; $SOFI. The $PTRA has not had price improvement but my position grows about 9-11% a month &amp; my cost decreases the same.
28,2021-10-20,PTRA,The reason why is @DesktopMetal does not have nearly the premium in selling calls. There is little to know $ there. I’m doing a similar scenario with $PTRA &amp; $SOFI. The $PTRA has not had price improvement but my position grows about 9-11% a month &amp; my cost decreases the same.
29,2021-10-20,DM,"They don’t always go this well.  This was a perfect storm of buying right and selling huge premium.  This is not very common and not a flex, it’s a truthful lesson that when plans work in the #stockmarkets you can have amazing returns and less risk. This will not work with $DM"
30,2021-10-20,IONQ,"Keeping you all posted on my $IONQ moves. Yesterday I rolled my $12.50 calls out to April $14’s. Took in another $0.45 a share. Bringing👇my avg cost to $5.14 by using proceeds to add more common, &amp; I didn’t use yesterdays roll $ for more common. So my cost is in the $2.50 range.  https://t.co/0qzCyd41HM"
31,2021-10-20,BTAQ,@El_Collision They wanted @ReeAutoOfficial too for $BTAQ. That deal is still looking for Israeli #tech I guess.
32,2021-10-20,GSAH,Surprisingly didn’t get more feedback on this trade. The $GSAH #spac and warrants were pretty popular subject a few months ago.  https://t.co/M1QnXo9b7U
33,2021-10-20,BODY,"Group Fitness Goes Digital: The Beachbody Company Launches “BODi”, A Live Connected Fitness Experience $BODY  https://t.co/z8KX0DD6QO"
34,2021-10-19,GSAH,@calvert_josh @MirionHQ @GoldmanSachs  https://t.co/1ATSSfjP1X Here is the video $GSAH
35,2021-10-19,GSAH,@cooltaj @MirionHQ @GoldmanSachs here is my screen $GSAH #CallSpread $10/$20  https://t.co/94Y43YlhQr
36,2021-10-19,GSAH,New Position on $GSAH with news of deal being approved @MirionHQ Symbol will be $MIR and $MIRW I added a Call spread for $10/$20 Jan 2023 (458 days) $1.68 per #Options #Call #Spread  https://t.co/ag6m1mMYv5  You know @GoldmanSachs #SPAC They should know?  https://t.co/LyQ9PtTtdd
37,2021-10-19,MIR,New Position on $GSAH with news of deal being approved @MirionHQ Symbol will be $MIR and $MIRW I added a Call spread for $10/$20 Jan 2023 (458 days) $1.68 per #Options #Call #Spread  https://t.co/ag6m1mMYv5  You know @GoldmanSachs #SPAC They should know?  https://t.co/LyQ9PtTtdd
38,2021-10-19,MIRW,New Position on $GSAH with news of deal being approved @MirionHQ Symbol will be $MIR and $MIRW I added a Call spread for $10/$20 Jan 2023 (458 days) $1.68 per #Options #Call #Spread  https://t.co/ag6m1mMYv5  You know @GoldmanSachs #SPAC They should know?  https://t.co/LyQ9PtTtdd
39,2021-10-19,NFT,"#OT This is my #NFTs twitter account @WeLikeNFTs. The guys at @ChibiLabs gave me a $NFT to give away. If you wanted to learn &amp; want a free shot, here you go. (Current value $ETH 0.16 #Etherium / $606.61 $USD) Follow the contest rules below and #GoodLuck"
40,2021-10-19,ETH,"#OT This is my #NFTs twitter account @WeLikeNFTs. The guys at @ChibiLabs gave me a $NFT to give away. If you wanted to learn &amp; want a free shot, here you go. (Current value $ETH 0.16 #Etherium / $606.61 $USD) Follow the contest rules below and #GoodLuck"
