,date,ticker,TWEETS,Vader Sentiment,Vader Analysis
0,2021-10-17,BNTX,@elliott_elsey $BNTX pulled back 50% from the August highs to retest the summer time breakout area .... I'd start looking for a bottoming pattern to start forming in this area here.  https://t.co/68Rm6dPlYS,0.0,Neutral
1,2021-10-17,TASK,@ctorre3 $TASK hit targets ... so good spot to at least book some gains.   But now i wanna see it hold steady in this area and build a new pattern to emerge.,0.4715,Neutral
2,2021-10-17,GEVO,@jashyl_koz $GEVO is just churning sideways. Needs a big catalyst to get moving again.,0.0,Neutral
3,2021-10-17,MARA,@zaferali2 $MARA is the leader in this space.... I'd look to buy this one on any dips now.   and $ANY continues to bottom quite nicely. Accumulation Volume picking up big time.,0.4927,Neutral
4,2021-10-17,ANY,@zaferali2 $MARA is the leader in this space.... I'd look to buy this one on any dips now.   and $ANY continues to bottom quite nicely. Accumulation Volume picking up big time.,0.4927,Neutral
5,2021-10-17,OPEN,@MoMargin $OPEN ... has bottomed very nicely. Notice the recent Accumulation Volume patterns.   Just needs a few days of sideways movement without pulling back too much to really show that demand is picking up in the stock.,0.3462,Neutral
6,2021-10-17,COIN,$COIN .... bottoming nicely and starting to gain some upside momentum   Targets: $340 to $350  https://t.co/z93U8BTKVw,0.743,Positive
7,2021-10-17,IWM,Check out that $IWM weekly chart ....  https://t.co/BkURoLBEYZ,0.0,Neutral
8,2021-10-15,AA,$AA ... officially making a PEG candle today.  https://t.co/PPCVOojxk2,0.0,Neutral
9,2021-10-14,TASK,"I've always said ""The absolute best trades work right away""....   They don't waste any time...  When a trade starts printing immediately after you start it, don't be in a rush to sell it because chances are very high, it's gonna be a big winner!  This $TASK falls in that category  https://t.co/WlN1Isovhr",0.9086,Positive
10,2021-10-14,VYGR,@y_jessca $VYGR is a micro-cap momomentm stock.   So hyper volatility is the name of the game. I wanna see it stop selling off first and create a pivot,-0.0258,Neutral
11,2021-10-14,AMD,$AMD with another follow thru candle  https://t.co/JbnAAGiSrR,0.0,Neutral
12,2021-10-14,SPY,HIGHER LOW confirmed  $SPY  https://t.co/fb8xu95vkx,-0.4278,Neutral
13,2021-10-14,NASDAQ,A truly sweet lookin breakout today on the $NASDAQ ....  https://t.co/gOmBbJv4mT,0.7096,Positive
14,2021-10-14,NUE,$NUE ... turning that corner  https://t.co/iDRNrTgF2U,0.0,Neutral
15,2021-10-14,ANY,$ANY ... busting thru yesterday's highs  https://t.co/E0VCeTbhgK,0.0,Neutral
16,2021-10-14,ATER,$9 is a resistance zone.... $ATER,0.0,Neutral
17,2021-10-14,DDOG,$DDOG ... turning into a big breakout day  https://t.co/a1Gfafxpdq,0.0,Neutral
18,2021-10-14,LCID,@Coltonblack15 Not familiar with $LCID .... but looks like a good spot to start nibbling,0.7964,Positive
19,2021-10-14,FB,$FB 'Chart Request'  If you've ever wanted to buy $FB .... this might be the spot to do it at. As it tests the 200 day MA and is getting a barrage of negative news headlines  https://t.co/RKDYjIQPXx,-0.5719,Negative
20,2021-10-14,FB,$FB 'Chart Request'  If you've ever wanted to buy $FB .... this might be the spot to do it at. As it tests the 200 day MA and is getting a barrage of negative news headlines  https://t.co/RKDYjIQPXx,-0.5719,Negative
21,2021-10-14,ATER,$ATER ... not wasting any time  https://t.co/VjUs4zLqFK,0.3089,Neutral
22,2021-10-14,ATER,Our old friend $ATER (from the speculative side of the fence).... setting up once again.   Did a great job of putting many traders to sleep... Could wake up from that 4 weeks long slumber at any moment.   Worth watching....  https://t.co/yUSwPxj2It,0.8625,Positive
23,2021-10-14,ANY,$ANY .... not wasting any time   Decided to go TODAY  https://t.co/iRIIRNEgbA,0.3089,Neutral
