,date,ticker
0,2021-10-17,BNTX
1,2021-10-17,TASK
2,2021-10-17,GEVO
3,2021-10-17,MARA
4,2021-10-17,ANY
5,2021-10-17,OPEN
6,2021-10-17,COIN
7,2021-10-17,IWM
8,2021-10-15,AA
9,2021-10-14,TASK
10,2021-10-14,VYGR
11,2021-10-14,AMD
12,2021-10-14,SPY
13,2021-10-14,NASDAQ
14,2021-10-14,NUE
15,2021-10-14,ANY
16,2021-10-14,ATER
17,2021-10-14,DDOG
18,2021-10-14,LCID
19,2021-10-14,FB
20,2021-10-14,FB
21,2021-10-14,ATER
22,2021-10-14,ATER
23,2021-10-14,ANY
24,2021-10-14,URA
25,2021-10-14,DNN
26,2021-10-14,UUUU
27,2021-10-13,TASK
28,2021-10-13,NUE
29,2021-10-13,ANY
30,2021-10-13,SPY
31,2021-10-13,TASK
32,2021-10-13,ANY
33,2021-10-13,TASK
34,2021-10-13,GDRX
35,2021-10-13,CCJ
36,2021-10-13,AMD
37,2021-10-13,DDOG
38,2021-10-13,S
39,2021-10-13,CCJ
40,2021-10-13,TASK
41,2021-10-13,SE
42,2021-10-13,CCJ
43,2021-10-12,DDOG
44,2021-10-12,TASK
45,2021-10-12,CLF
46,2021-10-12,CCJ
47,2021-10-12,GSAH
48,2021-10-17,AAPL
49,2021-10-16,CHWY
50,2021-10-16,NFLX
51,2021-10-16,NIO
52,2021-10-16,ROKU
53,2021-10-16,SNAP
54,2021-10-16,COIN
55,2021-10-16,SPY
56,2021-10-16,QQQ
57,2021-10-16,SNAP
58,2021-10-15,AAPL
59,2021-10-15,ROKU
60,2021-10-15,NIO
61,2021-10-15,SNAP
62,2021-10-15,XPEV
63,2021-10-15,AMD
64,2021-10-15,XPEV
65,2021-10-15,SNAP
66,2021-10-15,CHWY
67,2021-10-15,NFLX
68,2021-10-15,NIO
69,2021-10-15,ROKU
70,2021-10-15,NFLX
71,2021-10-15,AMD
72,2021-10-15,SPAC
73,2021-10-15,ADER
74,2021-10-14,HZAC
75,2021-10-14,DKNG
76,2021-10-14,ACEV
77,2021-10-13,PPGH
78,2021-10-13,RBAC
79,2021-10-12,DUNE
80,2021-10-11,PPGH
81,2021-10-09,RBAC
82,2021-10-09,RBAC
83,2021-10-07,NGAB
84,2021-10-07,FMAC
85,2021-10-06,SNII
86,2021-10-17,PSFE
87,2021-10-17,DM
88,2021-10-17,HYPR
89,2021-10-16,RTPY
90,2021-10-16,RTPY
91,2021-10-15,PTRA
92,2021-10-15,FTCV
93,2021-10-15,SOL
94,2021-10-15,SHIB
95,2021-10-15,DOGE
96,2021-10-15,COIN
97,2021-10-15,ABCD
98,2021-10-15,DNA
99,2021-10-15,DM
100,2021-10-15,IONQ
101,2021-10-15,LCID
102,2021-10-15,DKNG
103,2021-10-15,DM
104,2021-10-15,LCID
105,2021-10-15,LCID
106,2021-10-15,FSR
107,2021-10-15,RIDE
108,2021-10-15,LCID
109,2021-10-15,HYPR
110,2021-10-15,QSI
111,2021-10-15,QSI
112,2021-10-15,BFLY
113,2021-10-15,BFLY
114,2021-10-15,BFLY
115,2021-10-15,HCAQ
116,2021-10-15,HYPR
117,2021-10-15,HACQ
118,2021-10-15,HYPR
119,2021-10-14,SV
120,2021-10-14,SEAH
121,2021-10-14,CIFR
122,2021-10-14,ARVL
123,2021-10-14,NKLA
124,2021-10-14,HYLN
125,2021-10-14,LCID
126,2021-10-14,LILM
127,2021-10-14,GGPI
128,2021-10-14,FSR
129,2021-10-14,RTPY
130,2021-10-14,DNA
131,2021-10-14,PTRA
132,2021-10-14,ACEV
133,2021-10-14,IONQ
134,2021-10-14,CIFR
135,2021-10-14,CLOV
136,2021-10-14,SEAH
137,2021-10-14,DM
138,2021-10-14,PTRA
139,2021-10-14,IONQ
140,2021-10-14,DM
141,2021-10-14,HIMS
142,2021-10-14,UTZ
143,2021-10-14,BFLY
144,2021-10-14,QSI
145,2021-10-14,HCAQ
146,2021-10-14,HYPR
147,2021-10-14,UTZ
148,2021-10-14,RDW
149,2021-10-14,PTRA
150,2021-10-14,IONQ
151,2021-10-14,DM
152,2021-10-14,RDW
153,2021-10-14,IONQ
154,2021-10-14,RDW
155,2021-10-14,RTPY
156,2021-10-14,RDW
157,2021-10-13,RTPY
158,2021-10-13,GENI
159,2021-10-13,RSI
160,2021-10-13,RBAC
161,2021-10-13,BFI
162,2021-10-13,ASTR
163,2021-10-13,SOFI
164,2021-10-13,FSR
165,2021-10-13,PTRA
166,2021-10-13,RBAC
167,2021-10-13,OPAD
168,2021-10-13,IPOF
169,2021-10-13,COIN
170,2021-10-12,LCID
171,2021-10-12,UTZ
172,2021-10-12,IONQ
173,2021-10-12,BFI
174,2021-10-12,BFI
175,2021-10-12,BFI
