,Unnamed: 0,date,ticker,TWEETS,Vader Sentiment,Vader Analysis
0,0,2021-09-02,NVDA,@kenconundrum Yes! One of my favorite patterns are DOUBLE INSIDE DAY candles.   Which is what $NVDA is doing today,0.7177,Positive
1,1,2021-09-02,OCGN,@Bouloy $OCGN has a beautiful basing pattern here and huge short interest.    This one looks promising 👌,0.9519,Positive
2,2,2021-09-02,LC,$LC ... trying to move again after yesterday's INSIDE DAY candle.  https://t.co/lIAelNAFDa,0.0,Neutral
3,3,2021-09-02,DOCS,"Moving out of yesterday's ""pit stop"" candle with vigor and energy...  $DOCS  https://t.co/opecd8quKJ",0.25,Neutral
4,4,2021-09-02,NFLX,@clayspurlock4 $NFLX ... very impressive strength this week especially... but it's at a spot where it stalled in the past. Might need a small pullback before ramping up to $700 tgt  https://t.co/QfJtTp2LjF,0.326,Neutral
5,5,2021-09-02,BTU,"$BTU ... at this point, given the relentless nature of this uptrend, looks like $20 is the next target  https://t.co/2f9TUIaiuJ",0.4019,Neutral
6,6,2021-09-01,ASAN,$ASAN ... one of my favorite setups out there right now... Only caveat is that it reports earnings after the close today!  A must watch to see if it creates another PEG!   No position in it now but watching very closely!  https://t.co/RBvFzrqrYa,0.4265,Neutral
7,7,2021-09-01,LC,A nice INSIDE DAY candle in $LC after yesterday's breakout... this is a good stock to watch next few days.  Targets: $35 to $40  https://t.co/OHrl6wfwdZ,0.6908,Positive
8,8,2021-09-01,DOCS,"$DOCS ... a ""pit stop"" candle = the Pause that Refreshes = the cousin of an INSIDE DAY candle.  https://t.co/KKZMnWeb1h",-0.296,Neutral
9,9,2021-09-01,CLF,"A beautiful quick dip to test the 20 day MA... and printing a very nice reversal today in this $CLF   Starting to really firm up nicely in this bullish flag pattern. Look for a big breakout any day now, imho  Targets: $28 to $30  https://t.co/WaZFFUOygX",0.8795,Positive
10,10,2021-09-01,AMD,$AMD ... working on its second mini range candle for the week. Look for a big expansion candle in this one tomorrow.  https://t.co/PdTpZ7puTn,0.0,Neutral
11,11,2021-09-01,AMZN,$AMZN ... filling that big gap ... and doing it at a pace that'd make Usain Bolt jealous  https://t.co/Xac6rTsKwN,-0.4588,Neutral
12,12,2021-09-01,SWBI,$SWBI ...finding some bids and starting to perk up a bit here... just ahead of earnings after the bell today.  https://t.co/FOUghKMErS,0.0,Neutral
13,13,2021-09-01,ROKU,"$ROKU .. took a few days of boring sideways chop ... but looks to be finally reversing, looks legit this time  https://t.co/IjB9cBiciF",-0.1655,Neutral
14,14,2021-09-01,NVAX,After a few days of bobbing and weaving.... looks to be starting to finally break out  $NVAX  https://t.co/SvsYeffqjB,0.0,Neutral
15,15,2021-09-01,PDD,@Jatmoney $PDD is technically a PEG but since it's China based and there's been all sorts of unpredictable stuff going on there with government crack downs so this one isn't as appealing(for now at least),0.0,Neutral
16,16,2021-09-01,PRFT,@johnjoseph7177 $PRFT is a fantastic example!,0.5983,Positive
17,17,2021-09-01,DOCS,$DOCS... chugging nicely higher into the close  https://t.co/yzcipEMoIE,0.4404,Neutral
18,18,2021-09-01,PXLW,This $PXLW going bonkers  https://t.co/jkvUdyN26o,0.0,Neutral
19,19,2021-08-31,UBER,@swizz_Sammie $UBER is struggling big time here... targets low $30s,-0.7073,Negative
20,20,2021-08-31,DVAX,$DVAX buyers relentless  https://t.co/q9N1BSU1if,0.0516,Neutral
21,21,2021-08-31,SNAP,Working on a nice breakout candle thus far   $SNAP  https://t.co/1RdHvVOgD7,0.4215,Neutral
22,22,2021-08-31,SKIN,"Another good example of a nice PEG that ""ignites"" the stock followed by a smooth and healthy Post-PEG consolidation .... Study this chart closely and see if you can spot these patterns in other stocks!   $SKIN  https://t.co/abSjNb93Oq",0.8268,Positive
23,23,2021-08-31,DLO,@nealnp_ $DLO ... a good example of a recent PEG!  https://t.co/1tfIFok3GG,0.4926,Neutral
24,24,2021-08-31,PXLW,$PXLW .... wasting no time  https://t.co/GLAkMOo7jm,-0.5994,Negative
25,25,2021-08-31,AAPL,$AAPL ... printing a nice Inside Day candle  https://t.co/RSND7FckAV,0.4215,Neutral
26,26,2021-08-31,M,"@Franco_Demi $M is a good example of a recent PEG ... followed by post-PEG consolidation(in this case, BULLISH PENNANT)!  https://t.co/iyj5an5MkE",0.4926,Neutral
27,27,2021-08-31,CRM,"@GodAwfulTrader I do see what you're seeing in $CRM   However, only reason why it's not a true PEG... is because the stock gapped up on earnings but closed BELOW where it opened! This is not what i like to see",-0.5608,Negative
28,28,2021-08-31,TSM,"@kas_trades $TSM reported earnings on July 15th and the stock gapped down! So no, this is not a good example of a bullish PEG candle.   Take a look at $PANW and $TEAM as much better recent PEG examples!   Hope this helps!  https://t.co/OKNI3EHPzi",0.8058,Positive
29,29,2021-08-31,PANW,"@kas_trades $TSM reported earnings on July 15th and the stock gapped down! So no, this is not a good example of a bullish PEG candle.   Take a look at $PANW and $TEAM as much better recent PEG examples!   Hope this helps!  https://t.co/OKNI3EHPzi",0.8058,Positive
30,30,2021-08-31,TEAM,"@kas_trades $TSM reported earnings on July 15th and the stock gapped down! So no, this is not a good example of a bullish PEG candle.   Take a look at $PANW and $TEAM as much better recent PEG examples!   Hope this helps!  https://t.co/OKNI3EHPzi",0.8058,Positive
31,31,2021-08-31,CLF,@LiesTbe I do think so! Still holding $CLF,0.0,Neutral
32,32,2021-08-31,TASK,For Educational Purposes  Study this $TASK chart closely. Note how it made a nice PEG(Power Earnings Gap) in early August that was followed by a beautiful post-PEG consolidation(Bull Flag)   https://t.co/eUwCouwq90  A strong pattern especially when coupled with Accumulation Volume  https://t.co/3z34Ysc5fM,0.875,Positive
